inci	cas	ec	functions	restriction
CANDIDA BOMBICOLA/GLUCOSE/RICE GERM OIL FERMENT FILTRATE			EMOLLIENT, EMULSION STABILISING, HAIR CONDITIONING, HUMECTANT, SKIN PROTECTING	
CANDIDA BOMBICOLA/(IRVINGIA GABONENSIS KERNEL/(GARCINIA INDICA/MANGO/SHOREA ROBUSTA/SHOREA STENOPTERA/COCOA/THEOBROMA GRANDIFLORUM)SEED/SHEA/AVOCADO/JOJOBA) BUTTER FERMENT FILTRATE				
CANDIDA BOMBICOLA/MADHUCA LONGIFOLIA SEED OIL FERMENT EXTRACT			CLEANSING, SURFACTANT	
CANDIDA BOMBICOLA/(OLIVE FRUIT/SUNFLOWER SEED/APRICOT KERNEL/SWEET ALMOND) OIL FERMENT EXTRACT FILTRATE			EMULSION STABILISING, HAIR CONDITIONING, SKIN PROTECTING	
CANDIDA BOMBICOLA/RAPESEED SEED OIL FERMENT EXTRACT			SKIN CONDITIONING	
CANDIDA BOMBICOLA/SUCROSE/VEGETABLE ACID ESTER FERMENT			SKIN CONDITIONING	
CANDIDA/GARCINIA CAMBOGIA FERMENT	-	-	NOT REPORTED	
CANDIDA (LACTIS-CONDENSI/ ROBUSTA/UTILIS)/ DEBARYOMYCES/LACTOBACILLUS/LEUCONOSTOC/PICHIA/SACCHAROMYCES/STREPTOCOCCUS (CREMORIS/FAECALIS/LACTIS/THERMOPHILUS)/ TORULASPORA DELBRUECKII/ZYGOSACCHAROMYCES FERMENT EXTRACT				
CANDIDA TSUKUBAENSIS/ARGANIA SPINOSA KERNEL OIL/OLIVE FRUIT OIL/ (ADANSONIA DIGITATA/CAMELLIA SINENSIS/ORBIGNYA OLEIFERA/CALOPHYLLUM INOPHYLLUM) SEED OIL/ PHASEOLUS RADIATUS SEED EXTRACT FERMENT FILTRATE			EMULSION STABILISING, HAIR CONDITIONING, SKIN CONDITIONING, SKIN PROTECTING	
CANDIDA TSUKUBAENSIS/OLIVE FRUIT OIL/ (ADANSONIA DIGITATA/ORBIGNYA OLEIFERA/CALOPHYLLUM INOPHYLLUM) SEED OIL/ PHASEOLUS RADIATUS SEED EXTRACT FERMENT EXTRACT			HAIR CONDITIONING, SKIN CONDITIONING	
CANDIDA UTILIS CELL WALL				
CANNA GENERALIS RHIZOME EXTRACT	-	-	HUMECTANT	
CANNA HYBRID ROOT EXTRACT			HUMECTANT, SKIN CONDITIONING	
CANNA INDICA ROOT EXTRACT			SKIN CONDITIONING	
CANNABIDIOL - DERIVED FROM EXTRACT OR TINCTURE OR RESIN OF CANNABIS	13956-29-1		ANTIOXIDANT, ANTISEBORRHOEIC, SKIN CONDITIONING, SKIN PROTECTING	II/306 Cannabidiol (CBD) as such, irrespective of its source, is not listed in the Schedules of the 1961 Single Convention on Narcotic Drugs. However, it shall be prohibited from use in cosmetic products (II/306), if it is prepared as an extract or tincture or resin of Cannabis in accordance with the Single Convention. Please note that national legislations on controlled substances may also apply.
CANNABIDIOL - SYNTHETICALLY PRODUCED	13956-29-1		ANTIOXIDANT, ANTISEBORRHOEIC, SKIN CONDITIONING, SKIN PROTECTING	Cannabidiol (CBD) as such, irrespective of its source, is not listed in the Schedules of the 1961 Single Convention on Narcotic Drugs. However, it shall be prohibited from use in cosmetic products (II/306), if it is prepared as an extract or tincture or resin of Cannabis in accordance with the Single Convention. Please note that national legislations on controlled substances may also apply.
CANNABIGEROL	25654-31-3			
CANNABINOIDS				
CANNABINOL	521-35-7	689-788-0		
CANNABIS SATIVA CALLUS CULTURE LYSATE EXTRACT				
CANNABIS SATIVA CALLUS EXTRACT				
CANNABIS SATIVA CALLUS LYSATE				
CANNABIS SATIVA EXTRACT				
CANNABIS SATIVA FLOWER EXTRACT			EMOLLIENT, SKIN CONDITIONING	II/306 = Narcotics, natural and synthetic: All substances listed in Tables I and II of the single Convention on narcotic drugs signed in New York on 30 March 1961
CANNABIS SATIVA FLOWER/LEAF EXTRACT	89958-21-4 (generic)	289-644-3		
CANNABIS SATIVA FLOWER/LEAF/STEM EXTRACT			ANTIOXIDANT, ANTISEBORRHOEIC, SKIN CONDITIONING, SKIN PROTECTING	II/306 - Narcotics, natural and synthetic: All substances listed in Tables I and II of the single Convention on narcotic drugs signed in New York on 30 March 1961
CANNABIS SATIVA FLOWER/LEAF/STEM OIL				
CANNABIS SATIVA FLOWER/LEAF/STEM WATER	89958-21-4	289-644-3		
CANNABIS SATIVA LEAF EXTRACT				
CANNABIS SATIVA LEAF/STEM				
CANNABIS SATIVA LEAF/STEM WATER	89958-21-4	289-644-3		
CANNABIS SATIVA SEED EXTRACT	89958-21-4	289-644-3	EMOLLIENT	
CANNABIS SATIVA SEED OIL	89958-21-4	289-644-3	EMOLLIENT, SKIN CONDITIONING	
CANNABIS SATIVA SEED OIL GLYCERETH-8 ESTERS	-	-	EMOLLIENT, EMULSION STABILISING	
CANNABIS SATIVA SEED OIL PEG-8 ESTERS	-	-	EMOLLIENT, EMULSIFYING, SKIN CONDITIONING, SURFACTANT	
CANNABIS SATIVA SEED OLEOSOMES				
CANNABIS SATIVA SEED WATER	89958-21-4	289-644-3		
CANNABIS SATIVA SEEDCAKE			ABRASIVE, SKIN CONDITIONING	
CANNABIS SATIVA SEEDCAKE POWDER	89958-21-4	289-644-3	ABRASIVE	
CANNABIS SATIVA SPROUT				
CANNABIS SATIVA SPROUT EXTRACT				
CANNABIS SATIVA STEM EXTRACT				
CANNABIS SATIVA STEM POWDER	89958-21-4	289-644-3	SKIN CONDITIONING	
CANNABIS SEED OIL DIMER DILINOLEYL ESTERS/DIMER DILINOLEATE COPOLYMER				
CANNABISAMIDOPROPYL HYDROXYSULTAINE				
CANOLA OIL	120962-03-0	-	EMOLLIENT, SKIN CONDITIONING	
CANOLA OIL ETHYL ESTERS				
CANOLA OIL GLYCERIDE	226993-77-7	-	EMOLLIENT, EMULSIFYING, SKIN CONDITIONING, SURFACTANT	
CANOLA OIL UNSAPONIFIABLES			HAIR CONDITIONING, SKIN CONDITIONING	
CANOLA STEROLS			EMOLLIENT, SKIN CONDITIONING	
CANOLAMIDOPROPYL BETAINE	223704-88-9		ANTISTATIC, CLEANSING, FOAM BOOSTING, FOAMING, HAIR CONDITIONING, SKIN CONDITIONING, SURFACTANT, VISCOSITY CONTROLLING	
CANOLAMIDOPROPYL ETHYLDIMONIUM ETHOSULFATE	223704-93-6		ANTISTATIC, HAIR CONDITIONING	
CANTHARELLUS CIBARIUS EXTRACT			SKIN CONDITIONING	
CAPE ALOE			SKIN CONDITIONING	
CAPPARIS MITCHELLII LEAF EXTRACT	1417719-28-8			
CAPPARIS MOONII FRUIT EXTRACT	93333-84-7	297-054-2	ANTIMICROBIAL, ANTIOXIDANT	
CAPPARIS SPINOSA BUD EXTRACT	89958-23-6	289-646-4	SKIN CONDITIONING	
CAPPARIS SPINOSA BUD/MORUS NIGRA LEAF/RHODIOLA ROSEA ROOT				
CAPPARIS SPINOSA FLOWER EXTRACT	89958-23-6	289-646-4	SKIN CONDITIONING	
CAPPARIS SPINOSA FRUIT EXTRACT	89958-23-6	289-646-4	SKIN CONDITIONING	
CAPRAE BUTYRUM	225233-90-0		EMOLLIENT, SKIN CONDITIONING	
CAPRAE FAT	-	-	SKIN CONDITIONING	
CAPRAE LAC	-	-	SKIN CONDITIONING	
CAPRAE LAC EXTRACT	-	-	NOT REPORTED	
CAPRAMIDE DEA	136-26-5	205-234-9	ANTISTATIC, FOAM BOOSTING, HAIR CONDITIONING, SURFACTANT, VISCOSITY CONTROLLING	III/60
CAPRAMIDOETHYL CAPRAMIDOPROPYLDIMONIUM METHOSULFATE			ANTIMICROBIAL, ANTISTATIC, CLEANSING, DEODORANT, HAIR CONDITIONING, SURFACTANT	
CAPRIC ACID	334-48-5	206-376-4	CLEANSING, EMULSIFYING, MASKING, PERFUMING, SURFACTANT	
CAPRIC/LAURIC/MYRISTIC/OLEIC AMIDOPROPYL BETAINE			CLEANSING, SURFACTANT	
CAPRIC/LAURIC/MYRISTIC/OLEIC TRIGLYCERIDE			EMOLLIENT, SKIN CONDITIONING, SKIN PROTECTING	
CAPRIC/PCA GLYCERIDES	85290-22-8			
CAPROIC ACID	142-62-1	205-550-7	CLEANSING, EMULSIFYING, MASKING, PERFUMING, SURFACTANT	
CAPROLACTAM	105-60-2	203-313-2		
CAPROOYL PHYTOSPHINGOSINE	-	-	HAIR CONDITIONING, SKIN CONDITIONING	
CAPROOYL SPHINGOSINE	-	-	HAIR CONDITIONING, SKIN CONDITIONING	
CAPROOYL TETRAPEPTIDE-3	-	-	SKIN PROTECTING	
CAPROOYL TETRAPEPTIDE-3 AMIDE			SKIN CONDITIONING	
CAPROYL CITRIC ACID/PROPYLENE GLYCOL/SUCCINIC ACID COPOLYMER				
CAPROYL DIPEPTIDE-21 AMIDE	1321521-87-2		ANTIOXIDANT, SKIN CONDITIONING, SKIN PROTECTING	
CAPROYL ETHYL GLUCOSIDE	146599-18-0		CLEANSING, SURFACTANT	
CAPROYL SPHINGOSINE	124753-97-5		HAIR CONDITIONING, SKIN CONDITIONING	
CAPROYL TYROSINE			SKIN CONDITIONING	
CAPRYL CANNABIS SEEDATE				
CAPRYL/CAPRAMIDOPROPYL BETAINE			ANTISTATIC, CLEANSING, FOAM BOOSTING, HAIR CONDITIONING, SKIN CONDITIONING, SURFACTANT, VISCOSITY CONTROLLING	
CAPRYL DIMETHICONE	-	-	EMOLLIENT	
CAPRYL ESCHERICHIA COLI/CORN KERNEL EXTRACT/GLUCOSE FERMENT FILTRATE	-	-	EMOLLIENT, SKIN CONDITIONING	
CAPRYL HYDROXYETHYL IMIDAZOLINE	37478-68-5	253-521-2	ANTISTATIC, HAIR CONDITIONING	
CAPRYL/LAURYL WHEAT BRAN/STRAW GLYCOSIDES			CLEANSING, EMULSIFYING, FOAM BOOSTING, STABILISING, SURFACTANT, VISCOSITY CONTROLLING	
CAPRYL SULTAINE	15163-36-7		CLEANSING, SURFACTANT	
CAPRYLAMIDE MEA	7112-02-9		ANTIOXIDANT, EMOLLIENT, EMULSIFYING, SKIN CONDITIONING, SKIN PROTECTING, SURFACTANT	III/60
CAPRYLETH-4	27252-75-1		EMULSIFYING, SURFACTANT	
CAPRYLETH-4 CARBOXYLIC ACID	53563-70-5		CLEANSING, EMULSIFYING, SURFACTANT	
CAPRYLETH-5			EMULSIFYING, SURFACTANT	
CAPRYLETH-6 CARBOXYLIC ACID	53563-70-5		CLEANSING, EMULSIFYING, SURFACTANT	
CAPRYLETH-9 CARBOXYLIC ACID	53563-70-5		CLEANSING, EMULSIFYING, SURFACTANT	
CAPRYLHYDROXAMIC ACID	7377-03-9	230-936-7	CHELATING	
CAPRYLIC ACID	124-07-2	204-677-5	CLEANSING, EMULSIFYING, MASKING, PERFUMING, SURFACTANT	
CAPRYLIC/CAPRIC/CAMELLIA SINENSIS LEAF EXTRACT ESTERS	-	-	ANTIOXIDANT, EMOLLIENT, HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING	
CAPRYLIC/CAPRIC/COCO GLYCERIDES			EMOLLIENT, SKIN CONDITIONING	
CAPRYLIC/CAPRIC GLYCERIDES	73398-61-5	277-452-2	EMOLLIENT, EMULSIFYING, SKIN CONDITIONING	
CAPRYLIC/CAPRIC GLYCERIDES POLYGLYCERYL-10 ESTERS			EMOLLIENT, EMULSIFYING, EMULSION STABILISING, SKIN CONDITIONING, SURFACTANT	
CAPRYLIC/CAPRIC/LAURIC TRIGLYCERIDE	-	-	SKIN CONDITIONING	
CAPRYLIC/CAPRIC/LINOLEIC TRIGLYCERIDE			EMOLLIENT, SKIN CONDITIONING	
CAPRYLIC/CAPRIC/MYRISTIC/STEARIC TRIGLYCERIDE	208126-53-8		EMOLLIENT, SKIN CONDITIONING, SKIN PROTECTING	
CAPRYLIC/CAPRIC/PALMITIC/STEARIC TRIGLYCERIDE	-	-	SKIN CONDITIONING	
CAPRYLIC/CAPRIC/STEARIC TRIGLYCERIDE	-	-	SKIN CONDITIONING	
CAPRYLIC/CAPRIC/SUCCINIC TRIGLYCERIDE			EMOLLIENT, EMULSIFYING, SKIN CONDITIONING	
CAPRYLIC/CAPRIC TRIGLYCERIDE	73398-61-5 / 65381-09-1	277-452-2 / 265-724-3	MASKING, PERFUMING, SKIN CONDITIONING	
CAPRYLIC/CAPRIC TRIGLYCERIDE PEG-4 ESTERS	246864-39-1	-	EMOLLIENT, EMULSIFYING, SKIN CONDITIONING, SURFACTANT	
CAPRYLIC/PCA GLYCERIDES	94530-44-6			
CAPRYLOYL/CAPROYL ANHYDRO METHYL GLUCAMIDE				
CAPRYLOYL/CAPROYL METHYL GLUCAMIDE	1591782-62-5		EMULSIFYING, FOAM BOOSTING, SKIN CONDITIONING, SURFACTANT	
CAPRYLOYL CARNOSINE	209681-12-9		SKIN CONDITIONING	
CAPRYLOYL COLLAGEN AMINO ACIDS	161133-67-1		ANTISTATIC, CLEANSING, HAIR CONDITIONING, SURFACTANT	
CAPRYLOYL DIPEPTIDE-17			EMOLLIENT, HAIR CONDITIONING, SKIN CONDITIONING, SKIN PROTECTING	
CAPRYLOYL GLYCERIN				
CAPRYLOYL GLYCERIN/SEBACIC ACID COPOLYMER	1190099-88-7	-	FILM FORMING, HAIR CONDITIONING, SKIN CONDITIONING, SKIN PROTECTING	
CAPRYLOYL GLYCINE	14246-53-8	238-122-3	CLEANSING, HAIR CONDITIONING, SURFACTANT	
CAPRYLOYL GOLD OF PLEASURE AMINO ACIDS	-	-	DEODORANT	
CAPRYLOYL HEPTAPEPTIDE-12			SKIN CONDITIONING	
CAPRYLOYL HEPTAPEPTIDE-33			ANTIMICROBIAL, ANTIOXIDANT, ANTISEBORRHOEIC, SKIN CONDITIONING	
CAPRYLOYL HEXAPEPTIDE-74 D-METHIONINE AMIDE				
CAPRYLOYL HYDROLYZED COLLAGEN	161133-67-1		ANTISTATIC, HAIR CONDITIONING	
CAPRYLOYL HYDROLYZED KERATIN	161133-65-9		ANTISTATIC, CLEANSING, HAIR CONDITIONING, SKIN CONDITIONING, SURFACTANT	
CAPRYLOYL KERATIN AMINO ACIDS	161133-65-9		ANTISTATIC, CLEANSING, HAIR CONDITIONING, SURFACTANT	
CAPRYLOYL METHIONINE/SILK AMINO ACIDS METHYL ESTERS			HAIR CONDITIONING, NAIL CONDITIONING	
CAPRYLOYL OCTAPEPTIDE-33 D-METHIONINE			ANTIMICROBIAL, ANTIOXIDANT, ANTISEBORRHOEIC, SKIN CONDITIONING	
CAPRYLOYL PEA AMINO ACIDS	226993-79-9		HAIR CONDITIONING, SKIN CONDITIONING	
CAPRYLOYL PENTAPEPTIDE-26	-	-	SKIN CONDITIONING	
CAPRYLOYL QUINOA AMINO ACIDS	226993-80-2		HAIR CONDITIONING, SKIN CONDITIONING	
CAPRYLOYL SALICYLIC ACID	70424-62-3		SKIN CONDITIONING	
CAPRYLOYL SARCOSINE	2421-32-1		ANTISEBORRHOEIC, PRESERVATIVE	
CAPRYLOYL SERINE/SILK AMINO ACID METHYL ESTERS			HAIR CONDITIONING, SKIN CONDITIONING	
CAPRYLOYL SH-NONAPEPTIDE-6			SKIN CONDITIONING	
CAPRYLOYL SILK AMINO ACIDS	227200-38-6		CLEANSING, HAIR CONDITIONING, SURFACTANT	
CAPRYLOYL TETRAPEPTIDE-60 NORLEUCYL TYROSYL D-METHIONINE			ANTIMICROBIAL, ANTIOXIDANT, ANTISEBORRHOEIC, SKIN CONDITIONING	
CAPRYLOYLOXYPALMITOYL CAPRYLOYLOXYPALMITAMIDE MEA	1597432-40-0		EMOLLIENT, EMULSIFYING, SKIN CONDITIONING, SKIN PROTECTING, SURFACTANT	
CAPRYLYL 2-GLYCERYL ASCORBATE	1359731-61-5		ANTIOXIDANT, HUMECTANT	
CAPRYLYL 3-GLYCERYL ASCORBATE	1120360-26-0		ANTIOXIDANT, HUMECTANT	
CAPRYLYL ALCOHOL	111-87-5	203-917-6	MASKING, PERFUMING	
CAPRYLYL BUTYRATE	110-39-4	203-762-4	MASKING, PERFUMING, SKIN CONDITIONING	
CAPRYLYL/CAPRYL GLUCOSIDE	68515-73-1	500-220-1	CLEANSING, FOAMING, SURFACTANT	
CAPRYLYL/CAPRYL WHEAT BRAN/STRAW GLYCOSIDES	-	-	CLEANSING, EMULSIFYING, EMULSION STABILISING, FOAM BOOSTING, SURFACTANT	
CAPRYLYL/CAPRYL XYLOSIDES				
CAPRYLYL CAPRYLATE	2306-88-9	218-980-5	EMOLLIENT	
CAPRYLYL CAPRYLATE/CAPRATE			EMOLLIENT, SKIN CONDITIONING	
CAPRYLYL DIMETHICONE ETHOXY GLUCOSIDE			EMULSIFYING, EMULSION STABILISING, SURFACTANT	
CAPRYLYL EICOSENOATE			SKIN CONDITIONING	
CAPRYLYL GALLATE	1034-01-1	213-853-0 (I)	ANTIOXIDANT	
CAPRYLYL GLUCOSIDE	29836-26-8	249-887-8	CLEANSING, SURFACTANT	
CAPRYLYL GLYCERYL ETHER	10438-94-5		CLEANSING, FOAM BOOSTING, SURFACTANT	
CAPRYLYL GLYCOL	1117-86-8	214-254-7	EMOLLIENT, HAIR CONDITIONING, HUMECTANT, SKIN CONDITIONING	
CAPRYLYL GLYCOL/GLYCERIN/POLYACRYLIC ACID COPOLYMER			EMOLLIENT, HUMECTANT, SKIN CONDITIONING	
CAPRYLYL GLYCOL LINSEEDATE			ANTIMICROBIAL	
CAPRYLYL HYDROXYBUTYRAMIDE	74042-18-5		EMOLLIENT, HAIR CONDITIONING, SKIN CONDITIONING	
CAPRYLYL HYDROXYETHYL IMIDAZOLINE	36060-61-4	252-853-5	ANTISTATIC, HAIR CONDITIONING	
CAPRYLYL LAURATE	5303-24-2	226-149-3		
CAPRYLYL LAUROYL ARGININAMIDE HCL			ANTIPLAQUE	
CAPRYLYL LAUROYL ARGININAMIDE SULFATE			ANTIPLAQUE	
CAPRYLYL METHICONE	17955-88-3	241-881-3	SKIN CONDITIONING	
CAPRYLYL PYRROLIDONE	2687-94-7	403-700-8	CLEANSING, FOAMING, HAIR CONDITIONING, SURFACTANT	
CAPRYLYL TRIMETHICONE	187593-69-7	-	SKIN CONDITIONING	
CAPRYLYL TRISILOXANE	17955-88-3	241-881-3		
CAPRYLYLALKONIUM CHLORIDE	959-55-7	213-502-1	HAIR CONDITIONING	
CAPRYLYLOXYPHENYLAMINO DIMETHYLTETRAHYDRO BENZOTHIAZINE CARBOXYLIC ACID	1629023-01-3		ANTIOXIDANT, PRESERVATIVE, SKIN PROTECTING	
CAPSAICIN	404-86-4	206-969-8	MASKING, SKIN CONDITIONING	
CAPSAICINYL GLUCOSIDES			HUMECTANT	
CAPSAICINYL SUCCINOYL HEXAPEPTIDE-24 AMIDE			ANTIOXIDANT, SKIN PROTECTING	
CAPSAICINYL SUCCINOYL HEXAPEPTIDE-8 AMIDE				
CAPSAICINYL SUCCINOYL TRIPEPTIDE-1			ANTIOXIDANT, SKIN PROTECTING	
CAPSAICINYL SUCCINOYL TRIPEPTIDE-35			ANTIOXIDANT, SKIN PROTECTING	
CAPSAICINYL SUCCINOYL TRIPEPTIDE-7			ANTIOXIDANT, SKIN PROTECTING	
CAPSANTHIN/CAPSORUBIN	465-42-9	207-364-1	COSMETIC COLORANT	IV/147
CAPSELLA BURSA-PASTORIS EXTRACT	84604-19-3	283-297-1	SKIN CONDITIONING	
CAPSELLA BURSA-PASTORIS SPROUT WATER	84604-19-3	283-297-1	ANTIOXIDANT, SKIN PROTECTING	
CAPSICUM ANNUUM	84625-29-6	283-403-6		
CAPSICUM ANNUUM CALLUS CULTURE EXTRACT	84625-29-6	283-403-6	SKIN CONDITIONING	
CAPSICUM ANNUUM EXTRACT	84625-29-6	283-403-6	MASKING, SKIN CONDITIONING, TONIC	
CAPSICUM ANNUUM FRUIT EXTRACT	84625-29-6	283-403-6	ANTIDANDRUFF, ANTIMICROBIAL, ANTIOXIDANT, ASTRINGENT, HAIR CONDITIONING, SKIN PROTECTING	
CAPSICUM ANNUUM FRUIT JUICE	84625-29-6	283-403-6	SKIN CONDITIONING	
CAPSICUM ANNUUM FRUIT MERISTEM CELL			ANTIOXIDANT, SKIN CONDITIONING, SKIN PROTECTING	
CAPSICUM ANNUUM FRUIT POWDER	84625-29-6	283-403-6	SKIN CONDITIONING	
CAPSICUM ANNUUM LEAF EXTRACT	84625-29-6	283-403-6	SKIN CONDITIONING	
CAPSICUM ANNUUM RESIN	84625-29-6	283-403-6	SKIN CONDITIONING	
CAPSICUM CHINENSE FRUIT EXTRACT			ANTIMICROBIAL, ANTIOXIDANT, ASTRINGENT	
CAPSICUM FRUTESCENS FRUIT	85940-30-3	288-920-0	SKIN CONDITIONING	
CAPSICUM FRUTESCENS FRUIT EXTRACT	85940-30-3	288-920-0	SKIN CONDITIONING	
CAPSICUM FRUTESCENS FRUIT POWDER	85940-30-3	288-920-0	HUMECTANT, SKIN CONDITIONING	
CAPSICUM FRUTESCENS RESIN	8023-77-6	288-920-0	CLEANSING, MASKING, TONIC	
CAPSOSIPHON FULVESCENS EXTRACT			SKIN CONDITIONING	
CAPTAN	133-06-2	205-087-0		
CARAGANA SINICA FLOWER EXTRACT	-	-	ANTIOXIDANT, SKIN PROTECTING	
CARAGANA SINICA ROOT EXTRACT	-	-	ANTIOXIDANT, SKIN PROTECTING	
CARALLUMA FIMBRIATA STEM EXTRACT	-	-	SKIN CONDITIONING	
CARAMEL	8028-89-5	232-435-9	COSMETIC COLORANT, MASKING	IV/146
CARAPA GUAIANENSIS OIL PEG-8 ESTERS	-	-	EMOLLIENT, EMULSIFYING	
CARAPA GUAIANENSIS OIL POLYGLYCERYL-6 ESTERS	-	-	EMOLLIENT	
CARAPA GUAIANENSIS SEED OIL	352458-32-3; 906347-26-0	- / -	DENATURANT, SKIN CONDITIONING	
CARAPA GUAIANENSIS SEED POWDER	352458-32-3 / 906347-26-0	- / -	ABRASIVE	
CARAPA PROCERA SEED OIL	1053241-46-5	-	SKIN CONDITIONING	
CARBENIA BENEDICTA EXTRACT	84603-57-6	283-258-9	SKIN CONDITIONING, TONIC	
CARBOCYSTEINE	638-23-3	211-327-5	ANTISEBORRHOEIC, SKIN CONDITIONING	
CARBOMER	9007-20-9 / 9003-01-4 / 76050-42-5 / 9062-04-8 / 9007-16-3 / 9007-17-4	- / - / - / - / - / -	EMULSION STABILISING, GEL FORMING, VISCOSITY CONTROLLING	
CARBOMER/PAPAIN CROSSPOLYMER	1203594-64-2	-	VISCOSITY CONTROLLING	
CARBON	7440-44-0	231-153-3	NOT REPORTED	
CARBON BLACK	1333-86-4	215-609-9	COSMETIC COLORANT	IV/126
CARBON DIOXIDE	124-38-9	204-696-9	PROPELLANT	
CARBON FIBER	-	-	BULKING	
CARBONADO EXTRACT			ABRASIVE, SKIN CONDITIONING	
CARBOXYBUTYL CHITOSAN	235783-75-2	-	FILM FORMING, HAIR CONDITIONING, SKIN CONDITIONING, VISCOSITY CONTROLLING	
CARBOXYDECYL DIMETHICONE	106215-02-5	642-956-7		
CARBOXYDECYL TRISILOXANE	-	-	SKIN CONDITIONING, SOOTHING	
CARBOXYETHYL ACRYLATE	24615-84-7	246-359-9	NAIL CONDITIONING	
CARBOXYETHYL AMINOBUTYRIC ACID	4386-03-2	224-497-0	SKIN CONDITIONING	
CARBOXYLESTERASE	9016-18-6	232-773-7	ANTIPLAQUE	
CARBOXYMETHYL ALANYL DISULFIDE KERATIN				
CARBOXYMETHYL CAPROOYL CHITOSAN			ABSORBENT, FILM FORMING, HUMECTANT, SOLVENT, SURFACTANT	
CARBOXYMETHYL CELLULOSE ACETATE BUTYRATE			EMULSION STABILISING, FILM FORMING, VISCOSITY CONTROLLING	
CARBOXYMETHYL CHITIN	52108-64-2		GEL FORMING, HAIR CONDITIONING, SKIN CONDITIONING, VISCOSITY CONTROLLING	
CARBOXYMETHYL CHITOSAN	83512-85-0		FILM FORMING, GEL FORMING, VISCOSITY CONTROLLING	
CARBOXYMETHYL CHITOSAN MYRISTAMIDE	-	-	HUMECTANT	
CARBOXYMETHYL CHITOSAN SUCCINAMIDE			FILM FORMING, HAIR CONDITIONING, HUMECTANT, SKIN CONDITIONING	
CARBOXYMETHYL DEXTRAN	9044-05-7	-	BULKING, FILM FORMING, GEL FORMING, VISCOSITY CONTROLLING	
CARBOXYMETHYL DISULFIDE KERATIN			HAIR CONDITIONING	
CARBOXYMETHYL HYDROXYETHYLCELLULOSE	9088-04-4	-	BINDING, EMULSION STABILISING, FILM FORMING, VISCOSITY CONTROLLING	
CARBOXYMETHYL HYDROXYPROPYL GUAR	68130-15-4	-	BINDING, EMULSION STABILISING, GEL FORMING, VISCOSITY CONTROLLING	
CARBOXYMETHYL ISOSTEARAMIDOPROPYL MORPHOLINE	247214-39-7		ANTISTATIC, FOAMING, HAIR CONDITIONING, SURFACTANT	
CARBOXYMETHYL LEVAN			HUMECTANT, SKIN CONDITIONING	
CARDAMINE FLEXUOSA EXTRACT				
CARDIOSPERMUM HALICACABUM FLOWER/LEAF/VINE EXTRACT	89958-27-0	289-651-1	SKIN CONDITIONING	
CARDIOSPERMUM HALICACABUM SEED EXTRACT	89958-27-0	289-651-1	ANTIDANDRUFF, ANTIMICROBIAL, ANTISEBORRHOEIC, SKIN CONDITIONING	
CAREX DISPALATA EXTRACT				
CAREX HUMILLIS ROOT EXTRACT			SKIN CONDITIONING	
CAREX KOBOMUGI EXTRACT	-	-	SKIN CONDITIONING	
CAREX MEYERIANA LEAF/STEM EXTRACT	-	-	SKIN CONDITIONING	
CARICA PAPAYA FRUIT	84012-30-6	281-675-0	SKIN CONDITIONING	
CARICA PAPAYA FRUIT EXTRACT	84012-30-6	281-675-0	SKIN CONDITIONING	
CARICA PAPAYA FRUIT JUICE	84012-30-6	281-675-0	HUMECTANT, SKIN CONDITIONING	
CARICA PAPAYA FRUIT WATER	84012-30-6	281-675-0	SKIN CONDITIONING	
CARICA PAPAYA LEAF EXTRACT	84012-30-6	281-675-0	TONIC	
CARICA PAPAYA SEED OIL	84012-30-6	281-675-0	HUMECTANT, SKIN CONDITIONING	
CARLINA ACAULIS HAIRY ROOT CULTURE EXTRACT	85940-33-6	288-923-7	SKIN CONDITIONING	
CARLINA ACAULIS ROOT EXTRACT	85940-33-6	288-923-7	SKIN CONDITIONING	
CARNAUBA ACID WAX	442682-58-8	-	ABSORBENT, BINDING, FILM FORMING, VISCOSITY CONTROLLING	
CARNAUBA ACID WAX GLYCOL ESTERS				
CARNEGIEA GIGANTEA FLOWER EXTRACT	-	-	SKIN CONDITIONING	
CARNITINE	541-15-1	208-768-0	ANTISTATIC, CLEANSING, FOAM BOOSTING, HAIR CONDITIONING, SKIN CONDITIONING, SURFACTANT, VISCOSITY CONTROLLING	
CARNITINE FUMARATE	220349-64-4		SKIN CONDITIONING	
CARNITINE HCL	6645-46-1	229-663-6	HUMECTANT, SKIN CONDITIONING	
CARNITINE HYDROXYCITRATE	-	-	SKIN CONDITIONING	
CARNITINE ISOMERIZED LINOLEATE	-	-	EMOLLIENT	
CARNITINE PCA	-	-	NOT REPORTED	
CARNITINE TARTRATE	36687-82-8			
CARNITINYL PROPIONATE HCL	119793-66-7	922-939-3		
CARNOSIC ACID	3650-09-7		ANTIOXIDANT	
CARNOSINE	305-84-0	206-169-9	SKIN CONDITIONING	
CAROTENOIDS			ANTIOXIDANT, SKIN PROTECTING, UV ABSORBER	
CARPINUS BETULUS BUD EXTRACT	91745-92-5	294-763-9	SKIN CONDITIONING	
CARPINUS BETULUS FLOWER EXTRACT	91745-92-5	294-763-9	SKIN CONDITIONING	
CARPINUS CORDATA LEAF EXTRACT			SKIN CONDITIONING	
